Image,Bead,Mes./theory ratio X,Fit Goodness X,Mes./theory ratio Y,Fit Goodness Y,Mes./theory ratio Z,Fit Goodness Z,Lateral Asymmetry,Bead coordinates X (pixels),Bead coordinates Y (pixels)
Image 4,bead3,1.29,0.99,1.24,0.99,0.86,0.98,0.96,386.0,538.0
Image 4,bead1,1.26,1.0,1.4,1.0,0.83,0.98,0.9,897.0,161.0
Image 4,bead6,1.33,1.0,1.3,0.99,0.81,0.98,0.98,425.0,688.0
Image 4,bead7,1.21,0.99,1.23,1.0,0.84,0.98,0.98,326.0,932.0
Image 4,bead0,1.36,0.99,1.3,0.99,0.82,0.98,0.96,666.0,369.0
Image 3,bead10,1.2,0.99,1.22,0.99,0.79,0.97,0.98,501.0,762.0
Image 3,bead2,1.23,1.0,1.24,0.99,0.87,0.97,0.99,705.0,760.0
Image 3,bead3,1.24,1.0,1.32,0.99,0.83,0.98,0.94,582.0,442.0
Image 3,bead4,1.2,0.99,1.36,1.0,0.83,0.98,0.88,912.0,1135.0
Image 3,bead12,1.25,1.0,1.31,0.99,0.82,0.98,0.95,322.0,541.0
Image 3,bead1,1.27,1.0,1.24,1.0,0.89,0.98,0.98,1067.0,1127.0
Image 3,bead0,1.35,1.0,1.28,1.0,0.9,0.98,0.95,281.0,1119.0
Image 2,bead19,1.22,0.99,1.25,0.99,0.83,0.98,0.98,347.0,181.0
Image 2,bead21,1.23,1.0,1.22,0.99,0.8,0.98,0.99,714.0,891.0
Image 2,bead17,1.25,1.0,1.28,0.98,0.85,0.98,0.97,793.0,1149.0
Image 2,bead16,1.3,1.0,1.27,1.0,0.86,0.97,0.98,411.0,536.0
Image 2,bead4,1.25,1.0,1.25,1.0,0.84,0.98,0.99,1085.0,326.0
Image 2,bead12,1.21,1.0,1.18,0.99,0.81,0.98,0.98,213.0,469.0
Image 2,bead23,1.17,1.0,1.29,0.99,0.85,0.98,0.91,1066.0,1076.0
Image 2,bead1,1.27,1.0,1.28,1.0,0.84,0.98,0.99,351.0,640.0
Image 2,bead6,1.27,0.99,1.26,0.99,0.85,0.98,1.0,655.0,925.0
Image 5,bead19,1.23,1.0,1.25,1.0,0.81,0.97,0.98,255.0,983.0
Image 5,bead10,1.22,1.0,1.34,0.99,0.85,0.99,0.92,1245.0,205.0
Image 5,bead11,1.26,1.0,1.27,1.0,0.86,0.98,0.99,277.0,1126.0
Image 5,bead18,1.22,0.99,1.3,1.0,0.86,0.97,0.94,839.0,236.0
Image 5,bead2,1.92,0.99,1.32,1.0,0.88,0.98,0.69,1234.0,301.0
Image 5,bead3,1.31,1.0,1.34,1.0,0.85,0.98,0.98,562.0,1071.0
Image 5,bead4,1.25,1.0,1.3,1.0,0.83,0.98,0.96,973.0,239.0
Image 5,bead14,1.27,1.0,1.32,0.99,0.85,0.98,0.96,645.0,813.0
Image 5,bead15,1.22,1.0,1.23,0.99,0.87,0.98,0.99,957.0,1120.0
Image 5,bead8,1.25,0.99,1.32,1.0,0.83,0.98,0.95,358.0,278.0
Image 5,bead6,1.24,0.99,1.27,0.99,0.8,0.98,0.97,1068.0,647.0
Image 5,bead7,1.24,1.0,1.3,0.99,0.87,0.98,0.96,832.0,1017.0
Image 5,bead0,1.33,1.0,1.44,1.0,0.86,0.98,0.92,658.0,144.0
Image 5,bead9,1.61,0.99,2.35,0.94,1.13,0.97,0.68,376.0,681.0
Image 6,bead10,1.27,0.99,1.35,0.99,0.85,0.97,0.94,368.0,488.0
Image 6,bead20,1.4,0.98,1.21,0.99,0.85,0.98,0.86,708.0,1223.0
Image 6,bead18,1.2,0.99,1.22,0.98,0.9,0.98,0.98,511.0,505.0
Image 6,bead5,1.29,0.99,1.33,1.0,0.85,0.98,0.97,763.0,520.0
Image 6,bead2,1.4,1.0,1.26,1.0,0.84,0.98,0.9,1105.0,880.0
Image 6,bead4,1.3,1.0,1.28,1.0,0.81,0.98,0.99,892.0,1020.0
Image 6,bead14,1.29,1.0,1.26,0.99,0.88,0.99,0.98,121.0,1197.0
Image 6,bead12,1.3,0.99,1.29,1.0,0.8,0.98,0.99,918.0,44.0
Image 6,bead24,1.33,0.99,1.28,0.99,0.82,0.98,0.96,814.0,851.0
Image 6,bead23,1.29,0.99,1.19,0.99,0.82,0.98,0.92,603.0,1213.0
Image 6,bead8,1.35,0.99,1.21,1.0,0.79,0.98,0.9,604.0,559.0
Image 6,bead1,1.4,0.99,1.32,0.99,0.88,0.98,0.94,605.0,879.0
Image 6,bead7,1.31,1.0,1.18,0.99,0.86,0.98,0.9,598.0,358.0
Image 6,bead0,1.32,0.99,1.3,0.99,0.91,0.98,0.98,1040.0,880.0
Image 6,bead9,1.27,0.99,1.2,0.99,0.9,0.98,0.95,243.0,545.0
Image 1,bead5,1.3,0.99,1.27,1.0,0.92,0.99,0.97,157.0,1179.0
Image 1,bead2,1.25,1.0,1.24,0.99,0.89,0.99,0.99,125.0,636.0
Image 1,bead13,1.27,1.0,1.25,0.99,0.87,0.98,0.99,1130.0,452.0
Image 1,bead14,1.22,1.0,1.3,0.99,0.88,0.98,0.94,623.0,1038.0
Image 1,bead15,1.25,1.0,1.22,1.0,0.86,0.98,0.97,344.0,187.0
Image 1,bead12,1.27,0.99,1.25,1.0,0.85,0.99,0.98,977.0,35.0
Image 1,bead1,1.29,1.0,1.25,1.0,0.88,0.99,0.96,514.0,1248.0
Image 1,bead0,1.24,1.0,1.47,1.0,0.92,0.98,0.85,670.0,694.0
Image 1,bead9,1.19,1.0,1.23,1.0,0.88,0.99,0.97,195.0,742.0
